semmeddb ordered
Reg,,,,LTA,,,,Reg_Exp,,,,LTA_Exp
mmCoders,,,,,mmCoders,,,,,mmCoders,,,,,mmCoders
dice,0.7103,29,,dice,0.5305,29,,dice,0.7116,29,,dice,0.5608,29,,
odds,0.8188,29,,odds,0.3686,29,,odds,0.8198,29,,odds,0.3689,29,,
leftFisher,0.7199,29,,leftFisher,29,29,,leftFisher,0.7199,29,,leftFisher,29,29,,

sim,,,,,sim,,,,,sim,,,,,sim
ll,0.6708,392,,ll,0.3079,401,,ll,0.6764,392,,ll,0.2930,401,,
x2,0.6934,392,,x2,0.4570,401,,x2,0.7044,392,,x2,0.4307,401,,
dice,0.5298,392,,dice,0.3911,401,,dice,0.5428,392,,dice,0.3560,401,,
odds,0.7129,392,,odds,0.2925,401,,odds,0.7299,392,,odds,0.3156,401,,
leftFisher,0.6782,392,,leftFisher,0.0801,401,,leftFisher,0.6880,392,,leftFisher,0.0801,401,,

rel,,,,,rel,,,,,rel,,,,,rel
ll,0.6378,418,,ll,0.2746,430,,ll,0.6183,418,,ll,0.2657,430,,
x2,0.6406,418,,x2,0.3350,430,,x2,0.6261,418,,x2,0.3186,430,,
dice,0.6108,418,,dice,0.2792,430,,dice,0.6072,418,,dice,0.2638,430,,
odds,0.6266,418,,odds,0.1684,430,,odds,0.6213,418,,odds,0.1751,430,,
leftFisher,0.6512,418,,leftFisher,0.0868,430,,leftFisher,0.6374,418,,leftFisher,0.0868,430,,



1809_2015_window8 ordered
Reg,,,,LTA,,,,Reg_Exp,,,,LTA_Exp
mmCoders,,,,,mmCoders,,,,,mmCoders,,,,,mmCoders
ll,0.7985,29,,ll,0.5814,29,,ll,0.8099,29,,ll,0.5628,29,,
x2,0.8048,29,,x2,0.6000,29,,x2,0.8219,29,,x2,0.6323,29,,
dice,0.7732,29,,dice,0.4207,29,,dice,0.7248,29,,dice,0.4517,29,,
odds,0.7894,29,,odds,0.3111,29,,odds,0.8074,29,,odds,0.3145,29,,
leftFisher,0.8092,29,,leftFisher,29,29,,leftFisher,0.8092,29,,leftFisher,29,29,,

